施工類型,施工單位,施工路段,起日,迄日,區名,里名,經度,緯度
道路更新,新工處,赤峰街47巷,2024-02-01 00:00:00+08,2025-03-31 23:59:59+08,大同區,光能里,121.51966911036344,25.054936784344946
道路更新,新工處,重慶北路3段137巷,2024-02-01 00:00:00+08,2025-03-31 23:59:59+08,大同區,揚雅里,121.51395295817122,25.068071016607846
道路更新,新工處,113年度松山區撫遠街(民權東路至撫遠街403巷)路面更新工程,2024-03-30 00:00:00+08,2024-04-15 23:59:59+08,松山區,莊敬里,121.56561104818944,25.065944054902698
道路更新,新工處,建國南路1段279巷,2024-03-01 00:00:00+08,2024-12-31 23:59:59+08,大安區,和安里,121.53830300661217,25.036209826384745
道路更新,新工處,林森北路119巷,2023-10-23 00:00:00+08,2025-03-31 23:59:59+08,中山區,正義里,121.52510114180508,25.05068851115442
道路更新,新工處,松江路97巷,2023-10-23 00:00:00+08,2025-03-31 23:59:59+08,中山區,朱園里,121.53313577202238,25.050939992754394
人行道更新,新工處,信義區永吉路127巷,2024-07-01 00:00:00+08,2024-09-13 23:59:59+08,信義區,雅祥里,121.57036834852593,25.046355731239967
道路更新,新工處,延平北路6段,2024-11-01 00:00:00+08,2024-12-31 23:59:59+08,士林區,社新里,121.50120338863883,25.090418154271227
人行道更新,新工處,士林區至善路三段185號(礁坑橋前)至溪山國小單號側人行道,2024-04-08 00:00:00+08,2024-05-22 23:59:59+08,士林區,溪山里,121.57848397343349,25.11975701671082
道路更新,新工處,中山北路1段121巷,2024-01-01 00:00:00+08,2024-12-31 23:59:59+08,中山區,正得里,121.52256100509436,25.051377995429277
道路更新,新工處,新生北路1段,2024-01-01 00:00:00+08,2024-12-31 23:59:59+08,中山區,正義里,121.52935772986936,25.048319152789173
道路更新,新工處,林森北路107巷,2024-01-01 00:00:00+08,2024-12-31 23:59:59+08,中山區,正義里,121.52503903094913,25.050220999424454
人行道更新,新工處,信義區三興國小南側(吳興街156巷)人行道改善工程,2024-07-01 00:00:00+08,2024-08-24 23:59:59+08,信義區,西村里,121.5677202,25.0331314
道路更新,新工處,松江路46巷,2024-01-01 00:00:00+08,2024-12-31 23:59:59+08,中山區,興亞里,121.53273303133096,25.048017019893976
道路更新,新工處,龍江路91巷,2024-01-01 00:00:00+08,2024-12-31 23:59:59+08,中山區,力行里,121.54052250863259,25.051794345171746
道路更新,新工處,南京東路2段214巷,2024-01-01 00:00:00+08,2024-12-31 23:59:59+08,中山區,朱園里,121.53610166665784,25.05183081793814
道路更新,新工處,南昌路一段,2024-01-01 00:00:00+08,2025-03-31 23:59:59+08,中正區,龍福里,121.5166960214025,25.03193959716924
